benchmark,runs,raw_min,raw_median,raw_max,inferred_divisor,normalized_min,normalized_max,range_assertion_passed
pretrainbench,6,0.0,92.8095,100.0,100.0,0.0,1.0,True
fabv2-refactor,6,27.12653748368034,36.94210408846263,50.40821638160574,100.0,0.2712653748368034,0.5040821638160574,True
discogen-harness-rsi-local,5,100.0,100.0,100.0,100.0,1.0,1.0,True
osworld-v2,5,0.0,0.0,0.1611892232474353,1.0,0.0,0.1611892232474353,True
snap-pilot,5,33.42354533152909,34.776725304465494,71.42857142857143,100.0,0.3342354533152909,0.7142857142857143,True
persona_eval,5,0.0,0.0,90.47619047619048,100.0,0.0,0.9047619047619048,True
voice-code-bench,4,0.0,41.86046511627907,93.75,100.0,0.0,0.9375,True
terminus,3,0.0,0.0,0.0,1.0,0.0,0.0,True
rsi-gpu-shell,3,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-fabv2-autoresearch-full16-20260715160049,2,100.0,100.0,100.0,100.0,1.0,1.0,True
fabv2,2,28.846153846153843,38.21282065887329,47.579487471592735,100.0,0.28846153846153844,0.47579487471592735,True
financial-health,2,30.0,34.04761904761905,38.095238095238095,100.0,0.3,0.38095238095238093,True
qwen-sonnet-self-consistency,2,35.714285714285715,67.85714285714286,100.0,100.0,0.35714285714285715,1.0,True
argus,2,0.0,0.0,0.0,1.0,0.0,0.0,True
rsi-gpu-shell-q9ar5d-0722105006,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-fhc-aoe-20260715232322,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-fabv2-hillclimb-arbor-20260715231935,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-fabv2-autoresearch-20260715133143,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-gptoss-h4-modal-20260715002654,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-gptoss-h5-coreweave-20260714234933,1,50.0,50.0,50.0,100.0,0.5,0.5,True
rsi-gpu-shell-gptoss-h0-20260714233201,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-m2q35h0-20260714223918,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-m2q35h5-20260714221851,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-m2q35h4-20260714215304,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-fabv2-matrix-h0-20260713203919,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-fabv2-matrix-h2-smoke-20260713202549,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-fabv2-matrix-smoke-1783994758,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-qwen35-base-fabv2-valcode-20260713182058,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-continual-harness-smoke-20260713a,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-rsi-closed-loop-48h-20260703145002,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-assay-mini-20260703004310,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-qwen35rl-fabv2-20260702112041,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-nanochat-agentic-fv-real-20260701235005,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-nanochat-agentic-fv-20260701232612,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-vals-persona2-0701165556,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-nchatckpt-07011539,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-nfvtrain-07011459,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-nanochat-finance-vibecode-20260701143215,1,100.0,100.0,100.0,100.0,1.0,1.0,True
rsi-gpu-shell-gemma-harness-v1-20260629082024,1,75.25773195876289,75.25773195876289,75.25773195876289,100.0,0.7525773195876289,0.7525773195876289,True
rsi-gpu-shell-gemma-harness-20260629010831,1,72.16494845360825,72.16494845360825,72.16494845360825,100.0,0.7216494845360825,0.7216494845360825,True
progbench10,1,0.0,0.0,0.0,1.0,0.0,0.0,True
progbench7,1,0.0,0.0,0.0,1.0,0.0,0.0,True
progbench6,1,0.0,0.0,0.0,1.0,0.0,0.0,True
aime-2026,1,80.0,80.0,80.0,100.0,0.8,0.8,True
terminal-bench-local,1,100.0,100.0,100.0,100.0,1.0,1.0,True
dcf,1,0.0,0.0,0.0,1.0,0.0,0.0,True
