benchmark,model,detailed_runs,task_records,mean_binary_pass_rate,cost_matched_binary_pass_rate,mean_native_score,cost_complete_run_share,total_cost_observed,mean_run_cost,sd_run_cost,total_successes_observed,operational_cost_per_success,total_input_tokens_observed,cache_read_share_of_observed_input,outcome_task_records
legal-research,google/gemini-3.5-flash,1,208,0.3269230769230769,0.3269230769230769,0.8405250740256547,1.0,263.22962805,263.22962805,,68.0,3.8710239419117642,84068489.0,0.8488856014250673,208.0
legal-research,grok/grok-4.3,1,208,0.14903846153846154,0.14903846153846154,0.6951210105759986,1.0,45.59885845,45.59885845,,31.0,1.4709309177419356,17632853.0,0.7314026057165308,208.0
legal-research,grok/v9-potato,1,208,0.40487804878048783,0.40487804878048783,0.8627079943607026,1.0,284.818722,284.818722,,83.0,3.431550867469879,80667305.0,0.43424654639530735,205.0
legal-research,kimi/kimi-k2.6,1,208,0.125,0.125,0.739683450884914,1.0,327.45117147,327.45117147,,26.0,12.594275825769232,78044229.0,0.9502949710380115,208.0
legal-research,meta/super_nova_vals,1,208,0.3798076923076923,,0.8462122952534971,0.0,,,,0,,31342169.0,0.751727279106851,208.0
legal-research,minimax/MiniMax-M3,1,208,0.2548076923076923,0.2548076923076923,0.8011378751470333,1.0,74.71593036,74.71593036,,53.0,1.4097345350943395,54329669.0,0.801408637984409,208.0
legal-research,openai/gpt-5.4-mini-2026-03-17,1,208,0.1201923076923077,0.1201923076923077,0.6735961618442339,1.0,386.77710195,386.77710195,,25.0,15.471084077999999,119992579.0,0.8384960894423055,208.0
legal-research,openai/gpt-5.5,1,208,0.3701923076923077,0.3701923076923077,0.833896617488346,1.0,1548.810212,1548.810212,,77.0,20.11441833766234,96196794.0,0.8706982387214749,208.0
legal-research,openai/gpt-5.6-luna,1,208,0.36538461538461536,0.36538461538461536,0.8504716015427707,1.0,878.8082636,878.8082636,,76.0,11.563266626315789,192571039.0,0.8902798933878661,208.0
legal-research,openai/kindle-alpha,1,208,0.4807692307692308,0.4807692307692308,0.8781575904663665,1.0,4493.957829,4493.957829,,100.0,44.93957829,245691437.0,0.8347867867700505,208.0
legal-research,openai/nova-alpha,1,208,0.40865384615384615,0.40865384615384615,0.8403299700700231,1.0,1581.720849,1581.720849,,85.0,18.60848057647059,104617737.0,0.7869341721533407,208.0
legal-research,poolside/laguna-m.1:fast,1,208,0.02403846153846154,0.02403846153846154,0.6233763090070965,1.0,45.7265972,45.7265972,,5.0,9.14531944,54885362.0,0.8586622484599257,208.0
legal-research,poolside/laguna-xs.2:fast,1,208,0.009615384615384616,0.009615384615384616,0.5626993518229254,1.0,22.4416117,22.4416117,,2.0,11.22080585,75672423.0,0.7919930252851883,208.0
legal-research,zai/glm-5.1,1,208,0.25961538461538464,0.25961538461538464,0.7740188843716749,1.0,80.6602656,80.6602656,,54.0,1.4937086222222222,44936736.0,0.7571576575665183,208.0
legal-research,zai/glm-5.2,1,208,0.2980769230769231,0.2980769230769231,0.8264069343740583,1.0,191.37588816,191.37588816,,62.0,3.086707873548387,58143568.0,0.783807501816441,208.0
legal-research,anthropic/claude-haiku-4-5-20251001-thinking,1,207,0.1111111111111111,0.1111111111111111,0.6657471728249237,1.0,58.2791485,58.2791485,,23.0,2.5338760217391303,826018.0,0.8114268951120898,207.0
legal-research,grok/v9m-exp-0805-row17-47p8-api-high,1,207,0.4830917874396135,0.4830917874396135,0.903017141814149,1.0,609.870126,609.870126,,100.0,6.09870126,73768762.0,0.7372366481616469,207.0
legal-research,cohere/command-a-plus-05-2026,1,0,,,,0.0,,,,0,,,,0
legal-research,nvidia/nemotron-3-ultra-550b-a55b,1,0,,,,0.0,,,,0,,,,0
osworld-v2,meta/super_nova,1,1,0.0,,0.0,0.0,,,,0,,,,1.0
persona_eval,anthropic/claude-sonnet-4-6,1,3,1.0,1.0,0.9046666666666666,1.0,1.328022,1.328022,,3.0,0.442674,,,3.0
platformbe,anthropic/claude-opus-4-8,1,14,0.6428571428571429,,,0.0,,,,0,,,,14.0
pretrainbench,kimi/kimi-k3,1,1,1.0,,0.6670999999999999,0.0,,,,0,,,,1.0
progbench10,google/gemini-3.5-flash,1,1,0.0,,0.0,0.0,,,,0,,,,1.0
progbench6,google/gemini-3.5-flash,1,1,0.0,,0.0,0.0,,,,0,,,,1.0
progbench7,google/gemini-3.5-flash,1,1,0.0,,0.0,0.0,,,,0,,,,1.0
programbench,grok/v9m-exp-0805-row17-47p8-api-high,1,199,0.0,,0.7568459059296482,0.0,,,,0,,,,199.0
proof-bench,alibaba/qwen3.8-max-cn,1,99,0.47474747474747475,,,0.0,,,,0,,,,99.0
qwen-sonnet-self-consistency,(model missing),1,14,0.35714285714285715,0.35714285714285715,0.35714285714285715,1.0,126.91639059999999,126.91639059999999,,5.0,25.383278119999996,26657983.0,0.0,14.0
rsi-gpu-shell,openai/kindle-alpha,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-assay-mini-20260703004310,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-continual-harness-smoke-20260713a,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-fabv2-autoresearch-20260715133143,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-fabv2-autoresearch-full16-20260715160049,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-fabv2-hillclimb-arbor-20260715231935,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-fabv2-matrix-h0-20260713203919,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-fabv2-matrix-h2-smoke-20260713202549,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-fabv2-matrix-smoke-1783994758,openai/gpt-5.5,1,5,1.0,,1.0,0.0,,,,0,,,,5.0
rsi-gpu-shell-fhc-aoe-20260715232322,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-gemma-harness-20260629010831,openai/gpt-5.5,1,1,0.0,,0.7216494845360825,0.0,,,,0,,,,1.0
rsi-gpu-shell-gemma-harness-v1-20260629082024,openai/gpt-5.5,1,1,0.0,,0.7525773195876289,0.0,,,,0,,,,1.0
rsi-gpu-shell-gptoss-h0-20260714233201,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-gptoss-h4-modal-20260715002654,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-gptoss-h5-coreweave-20260714234933,openai/gpt-5.5,1,1,0.0,,0.5,0.0,,,,0,,,,1.0
rsi-gpu-shell-m2q35h0-20260714223918,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-m2q35h4-20260714215304,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-m2q35h5-20260714221851,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-nanochat-agentic-fv-20260701232612,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-nanochat-agentic-fv-real-20260701235005,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-nanochat-finance-vibecode-20260701143215,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-nchatckpt-07011539,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-nfvtrain-07011459,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-q9ar5d-0722105006,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-qwen35-base-fabv2-valcode-20260713182058,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-qwen35rl-fabv2-20260702112041,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-rsi-closed-loop-48h-20260703145002,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
rsi-gpu-shell-vals-persona2-0701165556,openai/gpt-5.5,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
skillsbench,grok/v9m-exp-0805-row17-47p8-api,1,87,0.5517241379310345,,0.5517241379310345,0.0,,,,0,,,,87.0
snap,openai/gpt-5.5,1,1,,,0.75,0.0,,,,0,,,,0.0
snap-pilot,google/gemini-3.1-pro-preview,1,230,,,0.34589309241483157,0.0,,,,0,,,,0.0
social-mobility,(model missing),1,15,,,,0.0,,,,0,,,,0.0
srebench,anthropic/claude-sonnet-5,1,176,0.26704545454545453,,0.09375,0.0,,,,0,,,,176.0
swebench,openai/gpt-5-mini-2025-08-07,3,1462,0.6132455429730367,,,0.0,,,,0,,,,1462.0
swebench,deepseek/deepseek-v4-pro,3,998,0.7645100401606426,,,0.0,,,,0,,,,998.0
swebench,alibaba/qwen3.6-27b,1,500,0.7,,,0.0,,,,0,,,,500.0
swebench,alibaba/qwen3.6-max-preview,1,500,0.728,,,0.0,,,,0,,,,500.0
swebench,alibaba/qwen3.6-plus,1,500,0.734,,,0.0,,,,0,,,,500.0
swebench,alibaba/qwen3.7-max,1,500,0.688,,,0.0,,,,0,,,,500.0
swebench,alibaba/qwen3.8-max-cn,1,500,0.856,,,0.0,,,,0,,,,500.0
swebench,anthropic/claude-fruitcake-eap,1,500,0.95,,,0.0,,,,0,,,,500.0
swebench,anthropic/claude-nectarine-v5-p,1,500,0.826,,,0.0,,,,0,,,,500.0
swebench,anthropic/claude-nougat-p,1,500,0.82,,,0.0,,,,0,,,,500.0
swebench,anthropic/claude-opus-4-8,1,500,0.858,,,0.0,,,,0,,,,500.0
swebench,anthropic/claude-queso-eap-max-effort,1,500,0.886,,,0.0,,,,0,,,,500.0
swebench,anthropic/claude-sonnet-5,1,500,0.796,,,0.0,,,,0,,,,500.0
swebench,cohere/command-a-plus-05-2026,1,500,0.4,,,0.0,,,,0,,,,500.0
swebench,cursor/composer-2.5,1,500,0.796,,,0.0,,,,0,,,,500.0
swebench,deepseek/deepseek-v4-flash,1,500,0.636,,,0.0,,,,0,,,,500.0
swebench,grok/grok-4.3,1,500,0.714,,,0.0,,,,0,,,,500.0
swebench,grok/grok-experimental-0410-1p5m,1,500,0.718,,,0.0,,,,0,,,,500.0
swebench,grok/v9-potato,1,500,0.852,,,0.0,,,,0,,,,500.0
swebench,kimi/kimi-k2.6-thinking,1,500,0.764,,,0.0,,,,0,,,,500.0
swebench,kimi/kimi-k2.7-code,1,500,0.782,,,0.0,,,,0,,,,500.0
swebench,meta/blue_tower,1,500,0.772,,,0.0,,,,0,,,,500.0
swebench,meta/emerald_lagoon,1,500,0.788,,,0.0,,,,0,,,,500.0
swebench,meta/glassy_lagoon,1,500,0.78,,,0.0,,,,0,,,,500.0
swebench,meta/super_nova_vals,1,500,0.7,,,0.0,,,,0,,,,500.0
swebench,minimax/MiniMax-M3,1,500,0.748,,,0.0,,,,0,,,,500.0
swebench,mistralai/mistral-medium-3.5,1,500,0.664,,,0.0,,,,0,,,,500.0
swebench,nvidia/nemotron-3-ultra-550b-a55b,1,500,0.69,,,0.0,,,,0,,,,500.0
swebench,openai/crest-alpha,1,500,0.826,,,0.0,,,,0,,,,500.0
swebench,openai/gpt-5.5,1,500,0.764,,,0.0,,,,0,,,,500.0
swebench,openai/gpt-5.6-luna,1,500,0.93,,,0.0,,,,0,,,,500.0
swebench,openai/iris-alpha,1,500,0.87,,,0.0,,,,0,,,,500.0
swebench,openai/iris-alpha-code-mode,1,500,0.856,,,0.0,,,,0,,,,500.0
swebench,openai/kindle-alpha,1,500,0.962,,,0.0,,,,0,,,,500.0
swebench,openai/summit-alpha,1,500,0.806,,,0.0,,,,0,,,,500.0
swebench,poolside/laguna-m.1,1,500,0.646,,,0.0,,,,0,,,,500.0
swebench,poolside/laguna-m.1:fast,1,500,0.576,,,0.0,,,,0,,,,500.0
swebench,poolside/laguna-xs.2,1,500,0.64,,,0.0,,,,0,,,,500.0
swebench,poolside/laguna-xs.2:fast,1,500,0.552,,,0.0,,,,0,,,,500.0
swebench,zai/glm-5.1-thinking,1,500,0.764,,,0.0,,,,0,,,,500.0
swebench,zai/glm-5.2,1,500,0.828,,,0.0,,,,0,,,,500.0
swebench,google/models/ajax,1,499,0.7895791583166333,,,0.0,,,,0,,,,499.0
swebench,grok/v9-carrot,1,499,0.8677354709418837,,,0.0,,,,0,,,,499.0
swebench,openai/nova-alpha,1,498,0.7550200803212851,,,0.0,,,,0,,,,498.0
swebench,xiaomi/mimo-v2.5,1,498,0.7128514056224899,,,0.0,,,,0,,,,498.0
swebench,xiaomi/mimo-v2.5-pro,1,498,0.7429718875502008,,,0.0,,,,0,,,,498.0
swebench,meta/quiet_sand,1,497,0.7484909456740443,,,0.0,,,,0,,,,497.0
swebench,arcee-ai/trinity-large-thinking,1,388,0.595360824742268,,,0.0,,,,0,,,,388.0
swebench,zai/glm-5-turbo,1,247,0.7489878542510121,,,0.0,,,,0,,,,247.0
swebench,deepseek/deepseek-reasoner,1,37,0.7297297297297297,,,0.0,,,,0,,,,37.0
swesmith,anthropic/claude-sonnet-4-5-20250929,1,3,0.6666666666666666,,,0.0,,,,0,,,,3.0
tax-eval-v3,google/gemini-3.5-flash,2,259,,,0.8312383933852805,0.5,,4.4192557500000005,,0,,1348942.0,0.8217695464388249,0.0
tax-eval-v3,anthropic/claude-sonnet-4-6,1,253,,,0.8471960092426915,0.0,,,,0,,,,0.0
tax-eval-v3,alibaba/qwen3.7-max,1,10,,,0.7825000000000001,1.0,,4.5832495,,0,,1012811.0,0.5999417773088713,0.0
tax-eval-v3,anthropic/claude-opus-4-8,1,10,,,0.8652575757575758,1.0,,18.090463500000002,,0,,2447.0,0.7455033097773814,0.0
tax-eval-v3,deepseek/deepseek-v4-pro,1,10,,,0.7967727272727273,1.0,,2.99951118,,0,,603023.0,0.8772510994564039,0.0
tax-eval-v3,grok/grok-4.5,1,10,,,0.8154999999999999,1.0,,4.248804,,0,,802089.0,0.7400333122336407,0.0
tax-eval-v3,zai/glm-5.2,1,10,,,0.779469696969697,1.0,,4.79704432,,0,,1090042.0,0.7919256519825285,0.0
tax-eval-v3,anthropic/claude-sonnet-5,1,7,,,0.8998701298701298,1.0,,20.99212005,,0,,1928.0,0.7751101652789574,0.0
tax-eval-v3,openai/gpt-5.6-luna,1,1,,,1.0,1.0,,0.06369,,0,,39215.0,0.5636232125966728,0.0
terminal-bench,meta/blue_tower,10,890,0.5076706423120831,,0.5076706423120831,0.0,,,,0,,,,883.0
terminal-bench,minimax/MiniMax-M3,10,889,0.5322283763634015,,0.5322283763634015,0.0,,,,0,,,,883.0
terminal-bench,anthropic/claude-sonnet-4-6,10,880,0.5344926933196044,,0.5344926933196044,0.0,,,,0,,,,871.0
terminal-bench,anthropic/claude-haiku-4-5-20251001-thinking,10,619,0.4304946225610811,,0.4304946225610811,0.0,,,,0,,,,613.0
terminal-bench,alibaba/qwen3.7-max,10,445,0.6013023493360572,,0.6013023493360572,0.0,,,,0,,,,444.0
terminal-bench,google/gemini-3.1-flash-lite,10,355,0.3351414180550174,,0.3351414180550174,0.0,,,,0,,,,352.0
terminal-bench,alibaba/qwen3.6-plus,1,89,0.5681818181818182,,0.5681818181818182,0.0,,,,0,,,,88.0
terminal-bench,alibaba/qwen3.7-plus,1,89,0.5168539325842697,,0.5168539325842697,0.0,,,,0,,,,89.0
terminal-bench,anthropic/claude-fruitcake-eap-high,1,89,0.7865168539325843,,0.7865168539325843,0.0,,,,0,,,,89.0
terminal-bench,anthropic/claude-opus-4-7,1,89,0.6629213483146067,,0.6629213483146067,0.0,,,,0,,,,89.0
terminal-bench,anthropic/claude-opus-4-8,1,89,0.7045454545454546,,0.7045454545454546,0.0,,,,0,,,,88.0
terminal-bench,anthropic/claude-queso-eap,1,89,0.7191011235955056,,0.7191011235955056,0.0,,,,0,,,,89.0
terminal-bench,anthropic/claude-queso-eap-high,1,89,0.7159090909090909,,0.7159090909090909,0.0,,,,0,,,,88.0
terminal-bench,anthropic/claude-queso-eap-max-effort,1,89,0.6590909090909091,,0.6590909090909091,0.0,,,,0,,,,88.0
terminal-bench,anthropic/claude-sonnet-5-high,1,89,0.7272727272727273,,0.7272727272727273,0.0,,,,0,,,,88.0
terminal-bench,deepseek/deepseek-v4-pro,1,89,0.5168539325842697,,0.5168539325842697,0.0,,,,0,,,,89.0
terminal-bench,deepseek/deepseek-v4-pro-nonthinking,1,89,0.5681818181818182,,0.5681818181818182,0.0,,,,0,,,,88.0
terminal-bench,google/gemini-3-flash-preview,1,89,0.5393258426966292,,0.5393258426966292,0.0,,,,0,,,,89.0
terminal-bench,google/gemini-3.1-pro-preview,1,89,0.6853932584269663,,0.6853932584269663,0.0,,,,0,,,,89.0
terminal-bench,google/gemini-3.5-flash,1,89,0.7471264367816092,,0.7471264367816092,0.0,,,,0,,,,87.0
terminal-bench,google/models/ajax,1,89,0.6896551724137931,,0.6896551724137931,0.0,,,,0,,,,87.0
terminal-bench,grok/grok-4.20-0309-reasoning,1,89,0.4659090909090909,,0.4659090909090909,0.0,,,,0,,,,88.0
terminal-bench,grok/grok-4.3,1,89,0.37209302325581395,,0.37209302325581395,0.0,,,,0,,,,86.0
terminal-bench,grok/v9-carrot,1,89,0.7640449438202247,,0.7640449438202247,0.0,,,,0,,,,89.0
terminal-bench,grok/v9-potato,1,89,0.651685393258427,,0.651685393258427,0.0,,,,0,,,,89.0
terminal-bench,grok/v9-stickynote,1,89,0.7191011235955056,,0.7191011235955056,0.0,,,,0,,,,89.0
terminal-bench,grok/v9m-exp-0805-row17-47p8-api-medium,1,89,0.735632183908046,,0.735632183908046,0.0,,,,0,,,,87.0
terminal-bench,kimi/kimi-k2-thinking,1,89,0.375,,0.375,0.0,,,,0,,,,88.0
terminal-bench,kimi/kimi-k2.6,1,89,0.5617977528089888,,0.5617977528089888,0.0,,,,0,,,,89.0
terminal-bench,kimi/kimi-k2.6-thinking,1,89,0.5617977528089888,,0.5617977528089888,0.0,,,,0,,,,89.0
terminal-bench,kimi/kimi-k2.7-code,1,89,0.6629213483146067,,0.6629213483146067,0.0,,,,0,,,,89.0
terminal-bench,meta/emerald_lagoon,1,89,0.6292134831460674,,0.6292134831460674,0.0,,,,0,,,,89.0
terminal-bench,meta/glassy_lagoon,1,89,0.7159090909090909,,0.7159090909090909,0.0,,,,0,,,,88.0
terminal-bench,meta/super_nova,1,89,0.5340909090909091,,0.5340909090909091,0.0,,,,0,,,,88.0
terminal-bench,meta/super_nova_dist,1,89,0.7272727272727273,,0.7272727272727273,0.0,,,,0,,,,88.0
terminal-bench,meta/super_nova_vals,1,89,0.6896551724137931,,0.6896551724137931,0.0,,,,0,,,,87.0
terminal-bench,minimax/MiniMax-M2.7,1,89,0.5113636363636364,,0.5113636363636364,0.0,,,,0,,,,88.0
terminal-bench,mistralai/mistral-medium-3.5,1,89,0.4090909090909091,,0.4090909090909091,0.0,,,,0,,,,88.0
terminal-bench,mistralai/mistral-small-2603,1,89,0.16853932584269662,,0.16853932584269662,0.0,,,,0,,,,89.0
terminal-bench,nvidia/nemotron-3-ultra-550b-a55b,1,89,0.4659090909090909,,0.4659090909090909,0.0,,,,0,,,,88.0
terminal-bench,openai/gpt-5-mini-2025-08-07,1,89,0.25,,0.25,0.0,,,,0,,,,88.0
terminal-bench,openai/gpt-5.3-codex,1,89,0.6931818181818182,,0.6931818181818182,0.0,,,,0,,,,88.0
terminal-bench,openai/gpt-5.4-mini-2026-03-17,1,89,0.5393258426966292,,0.5393258426966292,0.0,,,,0,,,,89.0
terminal-bench,openai/gpt-5.4-nano-2026-03-17,1,89,0.36363636363636365,,0.36363636363636365,0.0,,,,0,,,,88.0
terminal-bench,openai/gpt-5.5,1,89,0.5730337078651685,,0.5730337078651685,0.0,,,,0,,,,89.0
terminal-bench,openai/gpt-5.5-high,1,89,0.7727272727272727,,0.7727272727272727,0.0,,,,0,,,,88.0
terminal-bench,openai/gpt-5.6-luna,1,89,0.7840909090909091,,0.7840909090909091,0.0,,,,0,,,,88.0
terminal-bench,openai/iris-alpha,1,89,0.8314606741573034,,0.8314606741573034,0.0,,,,0,,,,89.0
terminal-bench,openai/iris-alpha-auto,1,89,0.7840909090909091,,0.7840909090909091,0.0,,,,0,,,,88.0
terminal-bench,openai/iris-alpha-code-mode,1,89,0.8202247191011236,,0.8202247191011236,0.0,,,,0,,,,89.0
terminal-bench,openai/iris-alpha-code-mode-high,1,89,0.8409090909090909,,0.8409090909090909,0.0,,,,0,,,,88.0
terminal-bench,openai/iris-alpha-high,1,89,0.7640449438202247,,0.7640449438202247,0.0,,,,0,,,,89.0
terminal-bench,openai/joule-alpha-code-mode,1,89,0.7727272727272727,,0.7727272727272727,0.0,,,,0,,,,88.0
terminal-bench,openai/joule-alpha-high,1,89,0.8181818181818182,,0.8181818181818182,0.0,,,,0,,,,88.0
terminal-bench,openai/kindle-alpha,1,89,0.8314606741573034,,0.8314606741573034,0.0,,,,0,,,,89.0
terminal-bench,openai/nova-alpha,1,89,0.7191011235955056,,0.7191011235955056,0.0,,,,0,,,,89.0
terminal-bench,poolside/laguna-m.1,1,89,0.3068181818181818,,0.3068181818181818,0.0,,,,0,,,,88.0
terminal-bench,poolside/laguna-m.1:fast,1,89,0.33707865168539325,,0.33707865168539325,0.0,,,,0,,,,89.0
terminal-bench,poolside/laguna-xs.2,1,89,0.2727272727272727,,0.2727272727272727,0.0,,,,0,,,,88.0
terminal-bench,poolside/laguna-xs.2:fast,1,89,0.25,,0.25,0.0,,,,0,,,,88.0
terminal-bench,xiaomi/mimo-v2.5,1,89,0.6136363636363636,,0.6136363636363636,0.0,,,,0,,,,88.0
terminal-bench,xiaomi/mimo-v2.5-pro,1,89,0.5795454545454546,,0.5795454545454546,0.0,,,,0,,,,88.0
terminal-bench,zai/glm-5.1-thinking,1,89,0.5617977528089888,,0.5617977528089888,0.0,,,,0,,,,89.0
terminal-bench,zai/glm-5.2-high,1,89,0.651685393258427,,0.651685393258427,0.0,,,,0,,,,89.0
terminal-bench,zai/glm-5.2-max-tokens-48k-top-p-1,1,89,0.6966292134831461,,0.6966292134831461,0.0,,,,0,,,,89.0
terminal-bench,cursor/composer-2.5,1,88,0.5909090909090909,,0.5909090909090909,0.0,,,,0,,,,88.0
terminal-bench,meta/super_nova_max,1,88,0.5227272727272727,,0.5227272727272727,0.0,,,,0,,,,88.0
terminal-bench,openai/firefly-alpha-high,1,88,0.7045454545454546,,0.7045454545454546,0.0,,,,0,,,,88.0
terminal-bench,zai/glm-5-thinking,1,88,0.4942528735632184,,0.4942528735632184,0.0,,,,0,,,,87.0
terminal-bench,meta/super_nova_xhigh,1,87,0.6206896551724138,,0.6206896551724138,0.0,,,,0,,,,87.0
terminal-bench,openai/gpt-5.4-2026-03-05,1,87,0.40229885057471265,,0.40229885057471265,0.0,,,,0,,,,87.0
terminal-bench,cohere/command-a-plus-05-2026,1,86,0.1744186046511628,,0.1744186046511628,0.0,,,,0,,,,86.0
terminal-bench,google/gemini-3.1-flash-lite-preview,1,0,,,,0.0,,,,0,,,,0
terminal-bench,google/gemini-3.1-pro,1,0,,,,0.0,,,,0,,,,0
terminal-bench,meta/muse_spark,1,0,,,,0.0,,,,0,,,,0
terminal-bench-local,gpt-5.3-codex,1,1,1.0,,1.0,0.0,,,,0,,,,1.0
terminus,openai/gpt-4o-mini,1,1,0.0,,0.0,0.0,,,,0,,,,1.0
valsmith,anthropic/claude-opus-4-8,1,45,0.5555555555555556,,,0.0,,,,0,,,,45.0
valsmith-generation,anthropic/claude-opus-4-8,1,1,1.0,,,0.0,,,,0,,,,1.0
valsmith-task-filter,(model missing),1,1,1.0,,,0.0,,,,0,,,,1.0
