model,finished_runs,benchmarks,benchmark_names,scaffolds,scaffold_names,median_tasks_per_run,p90_tasks_per_run,all_task_error_runs,any_task_error_runs,first_started_at,last_started_at
openai/gpt-5.4-2026-03-05,85,13,code-migration | cyberbench | fab | fabv2-internal | harvey-legal-agent | ioi | legal | programbench | proof-bench | skillsbench | snap | terminal-bench | vcb,15,fabv2_agent | finance-agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_cli | programbench_agent | proof_bench_agent | snap-agent | terminus2,10.0,100.0,5,32,2026-03-24T19:01:13.206225Z,2026-06-29T16:00:42.157654Z
minimax/MiniMax-M3,83,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | valsmith | vcb,16,emb_agent_dummy | fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_cli | openhands_cli_direct | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,87.0,230.0,0,15,2026-06-01T17:07:38.042299Z,2026-08-02T17:50:13.714674Z
anthropic/claude-opus-4-7,74,14,code-migration | cyberbench | fabv2-internal | harvey-legal-agent | kspbench | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | valsmith | vcb,18,fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | opencode_thinking | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap-agent | snap_agent | terminus2,47.0,229.7,5,19,2026-04-21T07:04:51.654415Z,2026-08-03T23:55:20.767613Z
anthropic/claude-haiku-4-5-20251001,73,16,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | valsmith | vcb | web-search,20,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | mini_sweagent_private_gateway_fable | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap-agent | snap_agent | terminus2 | web_search_agent,12.0,230.0,3,12,2026-04-21T07:04:55.789751Z,2026-08-05T22:27:27.307261Z
openai/gpt-5-mini-2025-08-07,72,5,fab | proof-bench | swebench | terminal-bench | vcb,6,finance-agent | mini_sweagent | openhands | private_finance-agent | proof_bench_agent | terminus2,1.0,81.5999999999999,37,45,2026-03-24T00:40:12.650030Z,2026-05-20T02:23:19.055450Z
openai/gpt-4o-mini,69,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | snap | swebench | terminal-bench | terminus | web-search,18,emb_agent | fabv2_agent | fabv2_agent_gemma | harvey-labs | ioi_agent | jf_programbench_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands_cli | programbench_agent | proof_bench_agent | snap_agent | terminus2 | web-search-agent | web_search_agent,1.0,1.0,1,1,2026-06-03T19:23:52.870015Z,2026-07-15T19:02:02.921821Z
kimi/kimi-k2.6-thinking,68,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,18,emb_agent | emb_agent_dummy | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | opencode_code_migration | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,15.0,123.00000000000004,8,28,2026-04-20T20:29:34.510961Z,2026-07-28T20:17:31.897424Z
kimi/kimi-k3,68,15,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | kspbench | legal-research | pretrainbench | programbench | proof-bench | snap | swebench | terminal-bench | valsmith | vcb,17,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | opencode_thinking | openhands | programbench_agent | proof_bench_agent | proof_bench_agent_1_1 | snap_agent | terminus2,16.0,102.0,0,19,2026-07-16T09:41:47.340050Z,2026-08-07T16:27:56.058240Z
anthropic/claude-sonnet-5,62,18,code-migration | cpse-bench | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | srebench | swebench | tax-eval-v3 | terminal-bench | valsmith | vcb,25,claude_code | claude_code_cpse | claude_code_no_internet | emb_agent | fabv2_agent | factory_anthropic_openai_only | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | proof_bench_agent_1_1 | snap_agent | srebench_mini_sweagent | tax_eval_v3_agent | terminus2,60.5,207.2,0,27,2026-06-30T21:19:52.391330Z,2026-08-05T17:31:21.394697Z
kimi/kimi-k2.6,62,7,code-migration | cyberbench | fabv2-internal | legal-research | snap | terminal-bench | valsmith,9,fabv2_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | snap-agent | snap_agent | terminus2,75.0,230.0,1,30,2026-04-21T07:05:16.695125Z,2026-06-28T10:03:06.740019Z
grok/grok-4.5,60,18,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | srebench | swebench | tax-eval-v3 | terminal-bench | valsmith | vcb | web-search,22,emb_agent | fabv2_agent | grok_build | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | srebench_mini_sweagent | tax_eval_v3_agent | terminus2 | web_search_agent,38.0,208.0,0,15,2026-07-08T23:41:16.734108Z,2026-08-08T04:39:43.422989Z
anthropic/claude-fable-5,58,11,blueprint | cyberbench | emb | harvey-legal-agent | legal-research | proof-bench | snap | swebench | valsmith | vcb | web-search,12,claude_code | emb_agent | harvey-labs | legal_research_agent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private_gateway_fable | openhands | proof_bench_agent_1_1 | snap_agent | web_search_agent,11.5,229.3,0,20,2026-06-11T03:10:41.411551Z,2026-08-07T16:50:29.251306Z
google/gemini-3-flash-preview,58,9,code-migration | cyberbench | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | snap | terminal-bench,10,fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent_patch_agent | programbench_agent | snap-agent | snap_agent | terminus2,79.0,230.0,6,20,2026-03-25T17:39:28.649276Z,2026-06-30T20:20:52.889768Z
openai/kindle-alpha,54,14,code-migration | cyberbench | emb | fabv2-internal | legal-research | programbench | proof-bench | rsi-gpu-shell | skillsbench | snap | swebench | terminal-bench | vcb | vcb-1-100,15,emb_agent | fabv2_agent | legal_research_agent | mini_swe_code_migration | mini_swe_rsi | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_cli | openhands_vcb100 | programbench_agent | proof_bench_agent | snap_agent | terminus2,87.0,450.0,1,12,2026-06-08T18:22:15.511968Z,2026-07-28T01:22:39.797086Z
thinkingmachines/inkling,54,13,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,14,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,12.5,184.60000000000022,0,16,2026-07-16T00:36:40.692016Z,2026-08-02T17:50:21.819720Z
openai/gpt-5.6-luna,52,17,code-migration | cyberbench | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | srebench | swebench | tax-eval-v3 | terminal-bench | valsmith | vcb | vcb-1-100,21,fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | openhands | openhands_skillsbench | openhands_vcb100 | programbench_agent | proof_bench_agent | proof_bench_agent_1_1 | snap_agent | srebench_mini_sweagent | tax_eval_v3_agent | terminus2,59.0,192.9999999999999,0,10,2026-07-09T00:35:03.783105Z,2026-08-08T03:12:21.426923Z
zai/glm-5.2,52,13,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | proof-bench | skillsbench | swebench | tax-eval-v3 | vcb | web-search,14,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_cli | proof_bench_agent | tax_eval_v3_agent | web_search_agent,61.0,425.79999999999967,0,11,2026-06-16T20:30:31.171689Z,2026-07-15T07:47:10.243067Z
zai/glm-5.1-thinking,49,10,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | programbench | proof-bench | swebench | terminal-bench | vcb,11,emb_agent | fabv2_agent | harvey-labs | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | programbench_agent | proof_bench_agent | terminus2,50.0,450.0,7,23,2026-04-05T18:09:34.936684Z,2026-06-19T08:50:55.515635Z
openai/gpt-5.6-terra,48,8,code-migration | cyberbench | harvey-legal-agent | ioi | proof-bench | skillsbench | valsmith | vcb,10,harvey-labs | ioi_agent | mini_swe_code_migration | mini_sweagent_no_internet | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | openhands | openhands_skillsbench | proof_bench_agent_1_1,22.0,87.0,0,11,2026-07-09T00:26:35.933307Z,2026-08-06T18:57:02.881963Z
meta/muse_spark_1_1,45,16,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | tax-eval-v3 | terminal-bench | valsmith | vcb,17,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | tax_eval_v3_agent | terminus2,15.0,87.0,0,16,2026-07-09T18:14:19.414851Z,2026-07-28T20:17:58.579944Z
anthropic/claude-haiku-4-5-20251001-thinking,44,9,code-migration | fabv2-internal | harvey-legal-agent | legal-research | programbench | skillsbench | snap | terminal-bench | valsmith,10,fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent_no_internet | openhands_cli | openhands_skillsbench | programbench_agent | snap_agent | terminus2,56.0,223.40000000000006,4,13,2026-04-01T03:20:25.889538Z,2026-07-20T18:00:49.664335Z
google/gemini-2.5-flash-lite,44,8,emb | fabv2-internal | ioi | programbench | proof-bench | skillsbench | swebench | terminal-bench,16,emb_agent | emb_agent_devin | fabv2_agent | ioi_agent | jf_model_gateway_fabv2_agent | jf_model_gateway_mini_sweagent | jf_model_gateway_programbench_agent | jf_model_gateway_terminus2_metadata_5task | jf_model_gateway_terminus2_nosummarize_5task | mini_sweagent | openhands_cli | programbench_agent | proof_bench_agent | sweagent | sweagent_gateway | terminus2,1.0,3.8000000000000114,0,1,2026-06-19T17:57:13.263442Z,2026-08-03T21:14:14.540839Z
minimax/MiniMax-M2.7,41,9,code-migration | cyberbench | fabv2-internal | harvey-legal-agent | programbench | proof-bench | snap | terminal-bench | vcb,11,fabv2-agent-test-20260420-152153 | fabv2_agent | harvey-labs | mini_swe_code_migration | mini_sweagent_poc_agent | openhands | programbench_agent | proof_bench_agent | snap-agent | snap_agent | terminus2,89.0,230.0,7,13,2026-04-20T22:25:17.614950Z,2026-06-15T20:47:15.865287Z
anthropic/claude-horchata-eap,40,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,17,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof-bench-agent-e4ba27f6-eaptest | proof_bench_agent | snap_agent | terminus2,87.0,450.0,0,5,2026-07-22T19:01:44.656825Z,2026-07-24T00:32:23.296502Z
openai/gpt-5.4-mini,40,7,code-migration | fabv2-internal | fabv2-refactor | programbench | snap | swebench | vcb,9,fabv2_agent | jf_model_gateway_fabv2_agent | jf_model_gateway_mini_sweagent | jf_model_gateway_programbench_agent | jf_model_gateway_snap_agent | jf_model_gateway_terminus2_nosummarize_5task | mini_swe_code_migration | mini_sweagent | openhands,2.5,126.0,9,18,2026-04-21T07:05:06.225042Z,2026-07-18T00:15:48.038662Z
alibaba/qwen3.7-max,37,9,emb | fabv2-internal | harvey-legal-agent | legal-research | proof-bench | swebench | tax-eval-v3 | terminal-bench | vcb,9,emb_agent_dummy | fabv2_agent | harvey-labs | legal_research_agent | mini_sweagent | openhands | proof_bench_agent | tax_eval_v3_agent | terminus2,89.0,304.79999999999967,5,8,2026-05-21T18:39:04.964759Z,2026-07-28T00:39:42.426051Z
deepseek/deepseek-v4-flash-0731,37,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | srebench | swebench | terminal-bench | vcb,15,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | srebench_mini_sweagent | terminus2,89.0,450.0,0,21,2026-07-31T21:02:47.530500Z,2026-08-07T05:27:09.213852Z
fireworks/glm-5p2,37,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | valsmith,17,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_no_internet | mini_sweagent_patch_agent | mini_sweagent_poc_agent | mini_sweagent_private | mini_sweagent_private_gateway | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,15.0,59.0,0,22,2026-07-13T04:34:02.891558Z,2026-07-22T00:51:20.641083Z
google/gemini-3.5-flash-lite,36,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,15,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,89.0,340.0,0,5,2026-07-21T18:28:04.885497Z,2026-08-05T20:50:05.158473Z
google/gemini-3.6-flash,34,13,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | legal-research | programbench | proof-bench | snap | swebench | terminal-bench | vcb | vcb-1-100,14,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_vcb100 | programbench_agent | proof_bench_agent | snap_agent | terminus2,75.0,383.99999999999983,0,8,2026-07-21T17:39:28.554441Z,2026-08-08T00:45:48.974330Z
openai/nova-alpha,34,12,code-migration | emb | fabv2-internal | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb | vcb-1-100,13,emb_agent | emb_agent_devin | fabv2_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | openhands | openhands_cli | openhands_vcb100 | programbench_agent | proof_bench_agent | snap_agent | terminus2,94.5,383.99999999999983,0,12,2026-06-18T01:50:16.487962Z,2026-06-26T06:58:23.497250Z
meta/super_nova,32,12,cyberbench | fabv2-internal | kspbench | legal-research | osworld-v2 | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,13,fabv2_agent | kspbench_agent | legal_research_agent | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | osworld_agent | programbench_agent | proof_bench_agent | snap_agent | terminus2,1.0,89.0,0,1,2026-07-07T09:55:27.176170Z,2026-07-08T17:41:43.538952Z
zai/glm-5.1,32,5,code-migration | fabv2-internal | legal-research | snap | valsmith,6,fabv2_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | snap-agent | snap_agent,229.0,230.0,1,3,2026-04-21T07:05:12.515049Z,2026-06-18T21:20:50.600424Z
openai/gpt-5.4-mini-2026-03-17,30,8,emb | fabv2-internal | harvey-legal-agent | legal-research | programbench | tax-eval-v3 | terminal-bench | vcb,9,agent | emb_agent_dummy | fabv2_agent | harvey-labs | legal_research_agent | openhands | programbench_agent | tax_eval_v3_agent | terminus2,89.0,450.0,4,6,2026-05-05T05:45:07.344773Z,2026-07-02T20:29:30.568743Z
